cmt_num,cmt_writer,cmt_time,cmt_txt
467871_3,릭앤모티,24.03.01,본인이 케이리그에 흥미있는 모습만 계속 보여줘도 호감캐 등극할듯
467871_4,Dennis Cirkin작성자 본인 여부작성자,24.03.01,이경규야 뭐 사위가 k2 리거라 ㅋㅋㅋ 사람자체도 대다수한테 호감인편이구여 ㅋㅋ
467576_1,Tensegrity Universe and Philosophy,24.03.01,
467447_1,더범,24.02.29,갓팡
467446_2,고추파티,24.02.29,뜬금엄ㅅ넼ㅋㅋㅋ
467446_3,다이나믹피치,24.02.29,우와 대박대K리그시대ㅎㄷㄷ경인더비까지 출연하시네요^^
467446_4,aespa 윈터,24.02.29,캬 좋다 경규옹
467446_5,더범,24.02.29,
467446_6,이태석이승준,24.02.29,오오 킹경규 ㄷㄷㄷㄷ
467446_7,울트라셀프,24.02.29,"'이경규가간다,가 생각나는...."
467446_8,Tensegrity Universe and Philosophy,24.02.29,ㄷㄷㄷ
467446_9,Birdwoo,24.02.29,신박한 조합이네ㅋㅋ
467446_10,호다다다닥,24.02.29,오호라
467446_11,수원뚜벅이,24.02.29,경규옹은 리그2 객원으로 가셔야하는거 아닌가ㅋㅋ
467446_14,카카오 이모티콘,24.02.29,??? : 저기 우리 사위도 잇지 않습니까
467446_12,다현,24.02.29,오ㅋㅋㅋㅋ
467446_13,Enzo Fernandez,24.02.29,ㄷㄷㄷ
466753_1,디지몬,24.02.21,원래 돈내서 상관은 없다만 쿠팡보다 티빙이 접근성이 낮긴하죠
466730_1,삑궷츢,24.02.21,근데 포털에서 무료로 해주긴 하니
466730_2,전북17이재성,24.02.21,티빙에서 봐야죠  ㅋ
466730_3,우왁굿,24.02.21,아프리카tv에도 볼 수 있어요
466730_4,ParisSG,24.02.21,금년 8월부터. ACLE와  ACL2.도. 쿠팡플레이 독점
466619_1,전북17이재성,24.02.20,"그놈의 올스타전 그만 하면 안되나.,.그냥 좀 쉬었으면..."
466619_2,벤탕후루,24.02.20,무조건 티켓 산다!!!!!!!
466619_3,크르르르,24.02.20,또?
466619_4,디지몬,24.02.20,클럽팀이랑 하자 올스타전 솔직히 별루
466619_11,이태석이승준,24.02.20,22
466619_5,JhmArsBarJuv,24.02.20,그냥 둘이 해라..
466619_6,fayewong,24.02.20,파리도 초청해자 ㅋㅋㅋ
466619_7,fayewong,24.02.20,그건 그렇고 예상대로 뮌헨이 토트넘한테 줄 대전료는 쿠팡이 대신 내주겠네요 ㅋㅋㅋ
466619_8,#GCRC,24.02.20,올스타말고클럽끼리하지ㅠ
466619_9,jjul,24.02.20,뭔또 올스타야......걍 클럽끼리 하던가
466619_10,KOLON,24.02.20,맨:꼬 이후 또 보겠네ㅎㅎ
466619_12,H_Crespo,24.02.20,가능합니까?
466619_13,No. 10 모드리춘,24.02.20,파리은??
466619_14,다현,24.02.20,와 토트넘 또 와?
466619_15,인천제로콜라,24.02.20,난 올스타 팀 좋음!
465551_1,아이스핫초코,24.02.13,오오 두근
465551_2,녹차라떼,24.02.13,국내에서 하는 경기는 저녁 7시 30분에 시작했으면 좋겠네 ㅜㅜ 전반전은 포기해야겠구나
465551_3,빗속의 노란물결,24.02.13,울산엠블럼 acl은 그대로가나???
465551_4,파블로아이마르,24.02.13,팀명도....
465551_5,Royal_Black☆SFC,24.02.13,2324시즌이라 작년에 대회 시작할 때 기준으로 갑니다.
465551_7,Mita,24.02.13,유니폼도 작년꺼
465551_6,Royal_Black☆SFC,24.02.13,쿠플은 없지만 그래도 포털이랑 아프리카가 있어서 접근성은 좀 더 나을 듯합니다.
465022_1,3LungPark,24.02.06,쿠플 ㄷㄷㄷㄷ
465022_3,엄지성,24.02.06,드디어!!!!!!
