cmt_num,cmt_writer,cmt_time,cmt_txt
471515_4,스톤콜드,24.03.10,ㄹㅇㅋㅋ 분위기가 ㅋㅋ
471515_5,신해철,24.03.10,그래도 메이져 국대 중계하시던 서기철옹 이라서 그런지 메이져 느낌나네요
469449_1,오스먼트,24.03.02,지난 시즌에는 k리그 공홈꺼도 올라오지 않았나요?
469449_2,축구부장작성자 본인 여부작성자,24.03.02,네? 그게 무슨 말씀인지?
469449_3,오스먼트,24.03.02,축구부장2분 하이라이트. 풀 하이라이트가 쿠플꺼 말고 k리그 공식채널꺼도 있었어요.
469449_4,축구부장작성자 본인 여부작성자,24.03.03,오스먼트아..올해는 없나요? A매치도 쿠플것이 있고 KFA것이 있던데
469449_5,Royal_Black☆SFC,24.03.03,올라오는 시간 딜레이가 작년에도 정해져 있었어요. 연맹이 6시간인가 12시간인가 더 늦게 올립니다.
468325_21,레드블랙,24.03.01,대단하심👍
468325_22,K리그사랑축구사랑,24.03.01,잘 부탁드립니다~
468325_23,엑셀시오르,24.03.02,올시즌도 잘 부탁드립니다!!
468325_24,아이스핫초코,24.03.02,교수님 진짜 항상 감사합니다
468325_25,추달,24.03.10,갓교수님
468325_1,H_Crespo,24.03.01,교수님 고생하셨습니다. 새로운 아나운서 이쁘당 ㅎㅎ
468325_2,빗속의 노란물결,24.03.01,배경음악이랑 한준희이경규  피리 부는거   왜 이렇게 찰떡이냐....ㅋㅋㅋㅋㅋ
468325_3,재키와이,24.03.01,교수님 이번시즌도 잘 부탁드려요 !!!!
468325_4,대전시티즌ID,24.03.01,잘부탁드려용~
468325_5,님강등당해요조심,24.03.01,
468325_6,더범,24.03.01,
468325_7,전문키커 이세은★,24.03.01,ㄷㄷㄷㄷ
468325_8,호다다다닥,24.03.01,
468325_9,Bazilak Kal Kuksu,24.03.01,사랑합니다 교수님
468325_10,Suwon22love,24.03.01,
468325_11,이으뜸(광주FC),24.03.01,교수님 올해도 잘 부탁드립니다!!
468325_12,Leno,24.03.01,갓벽한 정리 ㄷㄷ
468325_13,배우,24.03.01,충성충성
468325_14,홍랑,24.03.01,
468325_15,수원삼성조유리,24.03.01,갓교수 갓교수 야야야 !잘부탁드리옵니다
468325_16,알베르토 모레노,24.03.01,그저 갓
468325_17,Minatozaki Sana,24.03.01,교수님 알럽
468325_18,Apink은지,24.03.01,언제나 감사합니다!!!!!!
468325_19,오스먼트,24.03.01,항상 정말 감사합니다!
468325_20,오뚜기,24.03.01,감사합니다 올해도 잘 부탁드려요:)
467910_1,삼재현,24.03.01,타지키 레바논은 진짜 너무 재밌었음ㅠㅠㅠㅠ
467610_1,버츠비,24.03.01,고정으로 한 가지 코너를 맡는 그런 장기적인 역할인가봐요 ㅋㅋ쿠플픽은 한 번 더 나오는 것 같아요 ㅋㅋ
467607_1,버츠비,24.03.01,크
467607_2,더범,24.03.01,
467607_3,리윈,24.03.01,우리나라 이쁘신분들 왜케 많아
467587_1,H_Crespo,24.03.01,두둥
467584_1,Dennis Cirkin작성자 본인 여부작성자,24.03.01,아 찾았습니다. 전체화면 하니까 보이네요
467584_2,David Villa,24.03.01,Pip 되는데요
467584_3,Dennis Cirkin작성자 본인 여부작성자,24.03.01,전체화면 안한 상태에서는 그 버튼이 안보이더라구요 ㅋㅋ
467584_4,David Villa,24.03.01,Dennis Cirkin
