num,subject,nick,write_time,views,url,contents
469431,스포방지를 위해 흐린눈으로 들어와서 질문합니다,상암벌,24.03.02,499,http://m.cafe.daum.net/rocksoccer/ADs2/469431?searchView=Y,"쿠팡플레이 풀경기 영상은 언제뜨나요?
스포때문에 인스타 카톡 다 안보고있어요!!"
469429,쿠팡 광주다큐보는데 이정효감독 매력 넘침,yoonseokyeol,24.03.02,785,http://m.cafe.daum.net/rocksoccer/ADs2/469429?searchView=Y,"라커룸가서 다 때려부술주 알았는데
엄청 스윗하고 선수들 눈치도 많이보는분ㅋㅋ"
467871,쿠팡 플레이에서 이경규 영입한거 신의 한수 인듯요.,Dennis Cirkin,24.03.01,544,http://m.cafe.daum.net/rocksoccer/ADs2/467871?searchView=Y,당장 저만 해도 이경규 보려고 봤다가 풀경기 다 시청했네요 ㅋㅋㅋㅋㅋ재밌어요.
467742,경규옹 북중미 월드컵 진짜 엄청 가고 싶으신가보네 ㅋㅋ,버츠비,24.03.01,138,http://m.cafe.daum.net/rocksoccer/ADs2/467742?searchView=Y,지금부터 차근차근 쿠팡하고 작업하는듯한 느낌 ㅋㅋㅋ
467576,한준희 “쿠팡플레이 이외의 플레이는 더티플레이다”,이태석이승준,24.03.01,379,http://m.cafe.daum.net/rocksoccer/ADs2/467576?searchView=Y,“쿠팡플레이만이 페어플레이다” ㅋㅋㅋㅋ
467555,이경규:2026년 월드컵은 쿠팡 설득하겠다 ㅋㅋㅋㅋ,이태석이승준,24.03.01,238,http://m.cafe.daum.net/rocksoccer/ADs2/467555?searchView=Y,이번에도 성사되길 ㅎㅎ
467525,"[기사]이경규가 함께한다! K리그 ‘동해안 더비’ 개막전, 쿠팡플레이 첫 게스트 활약 예고",김바덕,24.03.01,72,http://m.cafe.daum.net/rocksoccer/ADs2/467525?searchView=Y,"https://v.daum.net/v/HJSCMjBWYU
이경규가 함께한다! K리그 ‘동해안 더비’ 개막전, 쿠팡플레이 첫 게스트 활약 예고
쿠팡플레이가 오는 1일 오후 12시 30분, 울산문수축구경기장에서 열리는 ‘울산HD FC(이하 울산) vs 포항스틸러스(이하 포항)’의 공식 개막전 경기를 쿠플픽으로 선보이며 K리그 2024시즌 중계의 문
v.daum.net"
467447,와 이경규 ㅋㅋㅋㅋ,믿는다이장관,24.02.29,804,http://m.cafe.daum.net/rocksoccer/ADs2/467447?searchView=Y,신박하긴 하다 쿠팡
467446,"[기사]개그맨 이경규, 쿠팡플레이 K리그 개막전 중계 객원 해설",바이언2,24.02.29,"3,085",http://m.cafe.daum.net/rocksoccer/ADs2/467446?searchView=Y,"https://www.yna.co.kr/view/AKR20240229079300007?input=1195m
쿠팡플레이는 ""3월 1일 낮 12시 30분 울산 HD와 포항 스틸러스의 개막전
중계에 이경규가 게스트로 출연한다""며 ""축구 예능인 '이경규가 간다' 등 축
구에 대한 통찰력을 갖춘 이경규가 한준희 해설위원, 배성재 캐스터와 함
께 올해 K리그 전망과 관전 포인트를 짚어줄 예정""이라고 29일 밝혔다.
이경규는 3월 10일 오후 2시 45분 FC서울과 인천 유나이티드 경기에도 게
스트 출연을 이어간다.
이경규는 ""K리그의 새로운 시즌 첫 시작을 함께할 수 있어서 행복하다""며
""현장에서 같이 호흡하며 많은 즐거움을 드리겠다""고 말했다.
이경규의 딸 이예림 씨는 K리그 선수 김영찬(FC안양)과 2021년 결혼했다."
466998,2024 K리그2 중계방송사,붉은용,24.02.22,596,http://m.cafe.daum.net/rocksoccer/ADs2/466998?searchView=Y,"2024 K리그2 중계방송사
TV 중계
맥스포츠(MAXPORTS)
생활체육TV, BALL TV
IB SPORTS, GOLF&PBA
SMT스포츠(SMT SPORTS)
(* sky Sports도 주요 경기 타 채널과 동시 중계 예정)
인터넷/모바일 중계(전 경기)
쿠팡플레이"
466997,2024 K리그1 중계방송사,붉은용,24.02.22,642,http://m.cafe.daum.net/rocksoccer/ADs2/466997?searchView=Y,"2024 K리그1 중계방송사
TV 중계
sky Sports
IB SPORTS
JTBC GOLF & SPORTS
인터넷/모바일 중계(전 경기)
쿠팡플레이"
